Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,5000,255.22777,169.69356,1319.0084,58.654865,47.44761904761905,77.27121,36.181828,124.39956,23.084599,47.44762,250.0,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.7368541,0.9542138,-0.39848015,51.198986,2.0172122,-0.012793682,31.317392,25.489195,262.17712,0.039468385,-0.15092081,0.93536025,6.270151,-11.724962,0.15092081,58.06336188316345
2,10000,86.99766,31.468126,146.9371,34.803524,79.856,35.07577,15.819476,57.24908,8.139749,250.0,250.0,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.2525862,0.6258447,-0.52086914,27.124811,1.4790828,-0.23753512,44.210705,27.766796,249.75058,19.146626,-0.1875133,0.87285227,5.552967,-9.58042,0.18751334,125.96060991287231
3,15000,83.576294,29.715084,162.05417,45.287205,103.32413793103449,41.10482,18.39936,75.13966,15.053602,250.0,250.0,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,0.8613068,0.3069075,-0.44347456,20.027344,1.1678199,-0.5101095,43.155544,25.525501,224.99843,18.645481,-0.36053902,0.72069556,3.5571823,-8.770117,0.36053902,196.16537928581238
4,20000,129.18246,91.38443,399.8076,50.810654,120.94545454545455,44.854435,11.664672,61.52346,27.166277,248.7,250.0,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,0.59587973,0.16029885,-0.32299328,13.609274,0.8735362,-0.49833432,43.917965,22.727804,249.52539,18.986328,-0.46834454,0.61437136,2.8333163,-9.307611,0.4683446,259.9039239883423
5,25000,143.29762,52.016228,241.86565,55.45972,133.79032258064515,32.054394,19.169394,67.188385,2.6036212,234.71428,250.0,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,0.41459396,0.100822724,-0.22947775,9.976514,0.6288277,-0.3465235,48.29586,20.953146,211.04118,22.5545,-0.51716584,0.5483816,2.6897924,-7.068374,0.51716584,331.6040472984314
6,30000,133.6585,41.77566,233.91402,49.726192,145.0728155339806,37.567165,26.259481,85.96818,12.168802,250.0,250.0,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,0.28965712,0.067140795,-0.16542837,8.179232,0.44367242,-0.45645633,52.615726,19.874748,217.44438,24.992424,-0.53218424,0.5291508,2.8790207,-7.2730417,0.53218424,405.17292523384094
7,35000,155.73094,48.680958,263.66904,66.1276,152.41048034934497,39.762558,22.493658,82.429665,6.2084618,218.13043,250.0,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.20266663,0.044637483,-0.11732369,7.307547,0.31314903,-0.47884294,57.300755,18.740892,213.8916,30.80059,-0.5451558,0.5049316,6.3429565,-7.1995835,0.5451559,468.8312876224518
8,40000,157.33179,63.2029,308.36658,67.911545,159.664,32.2477,28.0572,84.87785,2.5452077,238.7619,250.0,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.14202964,0.031638283,-0.08149687,6.3269963,0.22007824,-0.37796414,62.337925,18.337675,231.56554,37.06417,-0.54929817,0.50148934,7.3968153,-7.5002604,0.5492981,537.3242626190186
9,45000,164.16855,62.645027,283.67834,36.37479,165.82592592592593,23.890244,16.288235,70.89303,9.309847,242.85,250.0,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.09968081,0.023250509,-0.057619322,6.087456,0.15448181,-0.4561626,67.1241,18.468294,248.4208,41.224255,-0.5497176,0.5011746,7.437099,-6.9704957,0.54971755,598.2524874210358
10,50000,152.12546,57.38976,295.00095,62.349228,171.48797250859107,45.067856,24.440378,87.77979,9.383114,244.28572,250.0,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.07004506,0.016993426,-0.040336445,5.315829,0.10839623,-0.4785215,70.98855,18.32233,237.00783,47.073715,-0.54736024,0.5065569,8.991264,-7.5518746,0.54736036,672.0227317810059
11,55000,124.6567,43.679546,227.28818,53.810043,176.5369774919614,36.719227,31.74973,116.120674,7.650413,250.0,250.0,9.6655521739130439065e-05,0.00028996655852842806125,9.6655521739130439065e-05,0.00028996655852842806125,0.049273647,0.012354431,-0.028421272,4.842708,0.07624747,-0.5159198,74.18039,18.401152,246.72987,49.835625,-0.54727185,0.5036135,8.28087,-7.0135446,0.54727197,741.2655827999115
12,60000,139.82555,43.899937,265.68024,81.50828,180.97583081570997,25.766571,17.238829,62.244854,0.9033487,250.0,250.0,9.632107391304348027e-05,0.00028896321438127087998,9.632107391304348027e-05,0.00028896321438127087998,0.034701668,0.008959654,-0.01997165,4.453809,0.053579427,-0.578151,76.546455,18.612759,244.65237,52.801003,-0.5437074,0.50906307,8.162593,-7.370809,0.54370725,810.0002505779266
13,65000,151.59631,37.506065,228.01122,88.18402,184.87464387464388,22.330912,23.30988,67.547424,1.2766829,249.4,250.0,9.598662608695652148e-05,0.00028795987023411369873,9.598662608695652148e-05,0.00028795987023411369873,0.024463564,0.0064500244,-0.0140973665,4.0398374,0.03781053,-0.5923724,78.87026,18.669132,241.43866,55.153313,-0.54520804,0.5059668,8.399765,-7.0873327,0.5452081,872.2427690029144
14,70000,159.99576,76.318146,419.85202,79.26236,188.28032345013477,24.305338,17.2468,55.97229,1.8517759,248.05,250.0,9.565217826086957379e-05,0.00028695652608695648418,9.565217826086957379e-05,0.00028695652608695648418,0.017265776,0.004595113,-0.009961157,3.8756368,0.026663631,-0.6591048,80.98861,18.808277,245.30548,57.465256,-0.5441377,0.50859994,9.083584,-7.996338,0.5441377,946.4724767208099
15,75000,136.48503,42.41858,265.7752,79.61686,191.38874680306904,34.238842,15.175422,59.033974,15.204632,249.05,250.0,9.5317730434782614995e-05,0.0002859531819397993029,9.5317730434782614995e-05,0.0002859531819397993029,0.012199078,0.0033404992,-0.0070082974,3.7440548,0.01883095,-0.64265954,82.33438,19.072779,259.7031,59.453373,-0.54349256,0.5086729,9.546249,-7.7394276,0.5434927,1015.8142983913422
16,80000,117.85648,31.756592,207.86902,56.146408,193.99514563106797,36.479485,22.600574,74.01488,7.740118,242.5238,250.0,9.49832826086956562e-05,0.00028494983779264212166,9.49832826086956562e-05,0.00028494983779264212166,0.008629054,0.0024131204,-0.0049647894,3.635574,0.013298308,-0.74378175,83.29938,19.336199,259.93164,60.39425,-0.54096913,0.5109663,11.549971,-7.545997,0.540969,1087.3950026035309
17,85000,131.57599,59.469498,333.3434,65.65232,196.5648148148148,40.56495,18.484604,69.94407,8.238522,249.5,250.0,9.464883478260869741e-05,0.0002839464936454849404,9.464883478260869741e-05,0.0002839464936454849404,0.0061098053,0.0017238338,-0.0035050302,3.4341154,0.009425855,-0.70136064,84.06145,19.574337,273.69223,61.50164,-0.5424089,0.50816363,12.535078,-6.598282,0.5424088,1151.7108936309814
18,90000,126.166466,38.055153,232.65053,78.18201,198.92920353982302,33.549473,19.428205,66.06903,3.921849,250.0,250.0,9.4314386956521738615e-05,0.00028294314949832772584,9.4314386956521738615e-05,0.00028294314949832772584,0.004331008,0.0012483218,-0.0024819565,3.2282183,0.006681559,-0.70914227,84.458755,19.812325,278.81332,62.095276,-0.5425974,0.50624734,9.618911,-7.0326433,0.5425974,1216.7663004398346
19,95000,136.23737,43.60642,256.59607,89.018135,201.09322033898306,31.58157,16.398853,56.985077,8.030541,250.0,250.0,9.3979939130434790925e-05,0.0002819398053511705446,9.3979939130434790925e-05,0.0002819398053511705446,0.0030735836,0.0008925607,-0.0017691514,3.1222095,0.004736785,-0.83711004,85.22981,20.368547,282.39545,62.61594,-0.5409569,0.509871,13.2206955,-7.0666943,0.540957,1281.7690999507904
