Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,2048,209.5295,77.493385,700.3157,136.9968,23.790697674418606,318.90512,146.83385,1343.7499,146.13141,23.790697,43.912,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.9163771,0.9914222,-0.38997462,129.82678,6.7315965,-0.028433893,15.481526,13.461927,131.44475,0.15956137,-0.5097744,0.58659464,3.4267426,-8.898746,0.5097744,40.215062856674194
2,4096,498.83994,290.60788,1185.4943,168.3248,36.91818181818182,504.30875,258.8942,1835.8049,72.62718,83.958336,192.528,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.7131393,1.0,-0.09079021,30.501648,5.229337,-0.0008619547,38.69149,25.701283,209.3536,5.7630043,-0.045755193,0.9743161,4.3406115,-11.826089,0.045755196,150.55402612686157
3,6144,581.23346,305.6614,1220.0956,208.06738,49.61666666666667,263.3662,130.54018,788.33386,47.557083,189.3,229.814,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,1.4867673,0.9114141,-0.4617777,31.994911,4.1614943,-0.10037537,53.061413,31.798227,214.88434,11.352248,0.2021065,1.063494,4.3347073,-16.403732,-0.2021065,267.37990164756775
4,8192,533.30457,289.6879,1112.2755,196.09764,62.01538461538462,283.46194,150.7395,1054.21,44.113228,210.8,218.322,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,1.2861809,0.5724548,-0.927985,41.518925,3.6250799,-1.2107751,52.785606,37.731396,221.74142,9.01056,0.17995547,1.0292833,4.0098276,-8.734118,-0.17995544,382.9183306694031
5,10240,375.9744,177.54256,734.89703,183.28693,70.67605633802818,316.7837,150.54732,989.9021,75.44952,164.5,213.68,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,1.1067384,0.34789458,-0.73934674,40.97444,3.3458567,-2.1395717,46.419693,38.923332,238.23663,7.4021025,-0.025634006,0.93658614,3.4792607,-8.719474,0.025634,494.0400104522705
6,12288,423.72552,228.08815,848.7904,164.44461,76.86163522012579,421.33276,190.82121,1159.9655,111.733765,128.52942,201.368,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,0.9504741,0.23485404,-0.5163984,38.647003,3.044804,-1.949905,44.6,37.781654,313.61102,8.251692,-0.20507626,0.8385072,3.363492,-8.868166,0.20507623,595.9568943977356
7,14336,524.3071,297.16678,991.3994,144.78288,81.39772727272727,454.65326,195.62657,1152.0714,120.49913,123.82353,184.412,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.817883,0.17322892,-0.39524493,39.753654,2.7010603,-1.4952949,49.574,38.199963,288.12436,11.800686,-0.3031002,0.7634691,3.1342833,-9.45842,0.3031002,694.4530806541443
8,16384,540.68115,236.64407,993.04596,183.26651,85.88421052631578,440.69907,192.0724,1090.1001,140.67029,142.28572,175.278,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.7053424,0.12780172,-0.35459748,44.85312,2.363389,-1.7420874,55.992237,38.970726,287.93634,14.800979,-0.35083482,0.7215621,2.8885212,-10.401201,0.35083482,796.4126830101013
9,18432,436.0629,255.16707,1318.2622,168.56334,87.46411483253588,448.482,202.69481,1213.5435,145.17845,103.26316,155.144,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.6091764,0.093307786,-0.31477562,46.2904,2.071083,-1.8185731,62.685585,38.981426,270.8354,20.521809,-0.4000602,0.6665482,2.461904,-8.618319,0.40006018,900.9567787647247
10,20480,374.6569,216.62332,903.0871,158.81998,86.38135593220339,458.87106,201.69112,1270.5127,144.68422,78.0,168.526,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.5263638,0.06919417,-0.2809455,48.037743,1.8109213,-1.8966659,70.31861,38.666676,240.92291,23.757517,-0.44048434,0.62395513,2.0198517,-8.057206,0.44048432,1003.5066840648651
11,22528,405.92236,214.96556,800.1148,140.72507,86.42307692307692,417.00943,204.65144,1215.4354,133.50842,86.833336,126.614,9.6655521739130439065e-05,0.00028996655852842806125,9.6655521739130439065e-05,0.00028996655852842806125,0.45529106,0.052269835,-0.2493283,51.308678,1.5774207,-2.139768,78.17121,38.81681,255.3714,27.994688,-0.4648139,0.60242414,1.8884332,-7.5180087,0.4648139,1090.2064542770386
12,24576,374.43414,181.9182,794.5393,177.24408,85.16666666666667,421.09756,211.7837,1245.8256,136.62079,73.5,128.976,9.632107391304348027e-05,0.00028896321438127087998,9.632107391304348027e-05,0.00028896321438127087998,0.3939611,0.039815627,-0.22292012,54.19244,1.3759923,-2.3538177,86.11657,38.844738,283.86743,33.419193,-0.49265873,0.5686986,2.3522668,-9.138697,0.4926588,1174.460211277008
13,26624,363.3394,242.94829,1091.1847,143.59138,84.22784810126582,344.65744,170.30684,954.84607,130.33789,74.57143,102.008,9.598662608695652148e-05,0.00028795987023411369873,9.598662608695652148e-05,0.00028795987023411369873,0.34116,0.02987722,-0.20132497,57.73852,1.1989341,-3.0708046,94.430016,38.52013,279.31107,38.982834,-0.51434827,0.5432547,3.8487725,-7.174568,0.51434827,1246.220647096634
14,28672,246.78513,88.83558,485.29272,138.1476,80.70140845070422,279.18173,131.27156,1117.5023,130.75294,52.128204,75.048,9.565217826086957379e-05,0.00028695652608695648418,9.565217826086957379e-05,0.00028695652608695648418,0.29550043,0.022138137,-0.18153743,62.621693,1.0470381,-3.6344395,101.87964,37.10114,293.62146,45.65888,-0.5432851,0.5021275,3.953269,-6.364444,0.543285,1307.0336854457855
15,30720,222.95738,102.969986,660.8529,139.40172,75.58620689655173,209.46617,73.04914,889.8291,124.5696,39.980392,46.494,9.5317730434782614995e-05,0.0002859531819397993029,9.5317730434782614995e-05,0.0002859531819397993029,0.25609818,0.016492145,-0.16321023,61.844837,0.9154422,-4.007926,108.83849,34.36646,298.5511,52.41378,-0.5747544,0.45353284,3.3214087,-6.816832,0.5747544,1372.4097990989685
16,32768,194.62354,50.392918,378.78018,132.89754,67.6301652892562,193.63324,44.582535,410.70047,126.28506,26.217949,36.968,9.49832826086956562e-05,0.00028494983779264212166,9.49832826086956562e-05,0.00028494983779264212166,0.22199745,0.012341779,-0.14559974,58.702904,0.8002289,-4.064338,116.53506,31.210474,269.81528,51.37405,-0.6047384,0.39870542,2.0342379,-6.0318103,0.6047385,1430.5033135414124
17,34816,194.02414,47.80818,419.5531,138.00629,61.466431095406364,184.77234,34.99279,402.28735,130.61253,25.085365,28.506,9.464883478260869741e-05,0.0002839464936454849404,9.464883478260869741e-05,0.0002839464936454849404,0.1925734,0.009346012,-0.12906855,49.48349,0.69922924,-3.7809453,124.692665,28.371258,284.15292,61.94646,-0.6309731,0.33631784,1.2755139,-6.8188066,0.6309731,1499.752065896988
18,36864,194.8407,43.717674,322.1315,141.58482,56.605222734254994,187.90936,39.452194,410.99622,129.77187,24.235294,28.506,9.4314386956521738615e-05,0.00028294314949832772584,9.4314386956521738615e-05,0.00028294314949832772584,0.16712224,0.007319089,-0.11303735,43.717274,0.609534,-3.3106723,133.42577,26.57881,289.98535,79.2155,-0.64702517,0.28853622,0.8920976,-6.1288652,0.64702505,1563.5843379497528
19,38912,191.9437,39.95004,370.84103,140.561,52.11662198391421,185.31961,34.2604,365.45978,130.14017,21.357895,25.626,9.3979939130434790925e-05,0.0002819398053511705446,9.3979939130434790925e-05,0.0002819398053511705446,0.1451628,0.005667196,-0.099592835,42.97009,0.5306354,-4.1278768,141.6624,25.308968,301.17496,87.27123,-0.6552318,0.26253444,1.0642188,-7.311947,0.65523195,1631.5216794013977
20,40960,194.3612,42.13616,387.4726,134.83089,49.3956574185766,185.10147,33.25446,331.34442,133.13567,24.939758,23.412,9.364549130434783213e-05,0.00028093646120401336334,9.364549130434783213e-05,0.00028093646120401336334,0.12613736,0.004168891,-0.087935336,40.906567,0.46201956,-5.767838,148.27078,23.589865,314.90027,78.93883,-0.6626228,0.23636639,0.4822433,-5.0634027,0.6626228,1689.500765800476
21,43008,193.3379,40.832127,316.29944,134.75768,46.978142076502735,187.42662,36.784237,380.35947,123.070816,23.67442,22.334,9.331104347826087334e-05,0.00027993311705685614876,9.331104347826087334e-05,0.00027993311705685614876,0.10967578,0.0029611164,-0.07697892,37.881702,0.40254495,-6.9043307,153.36111,22.0358,307.24493,75.89152,-0.6700727,0.20214427,0.43942142,-5.985769,0.67007273,1750.3498365879059
22,45056,183.25435,35.90794,333.85953,134.82687,44.29891838741396,187.93828,39.37163,461.76404,132.5479,20.264706,20.486,9.2976595652173914545e-05,0.00027892977290969896752,9.2976595652173914545e-05,0.00027892977290969896752,0.09539442,0.0020653873,-0.06711517,36.625294,0.35057065,-8.256658,157.64775,21.250702,315.48392,73.1843,-0.67469007,0.1793722,0.31604183,-5.052118,0.67469,1812.7929232120514
